year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2017,8,36,42,זכר,צרפת,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,טכנאי הנדסה אזרחית
2017,7,24,30,נקבה,אוסטרליה,אוקיאניה,מזכרת בתיה,מחוז תל אביב והמרכז,מלונאי
2017,8,45,51,נקבה,רוסיה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,אחות מוסמכת
2017,8,8,14,זכר,רוסיה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2017,8,14,20,זכר,פינלנד,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2017,8,12,18,נקבה,פינלנד,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2017,8,51,57,זכר,פינלנד,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,וטרינר
2017,10,18,24,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,סטודנט
2017,1,33,40,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,בניה כללי
2017,3,51,57,נקבה,אוזבקיסטאן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מחפש עבודה
2017,7,71,77,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"זבן, מוכר"
2017,8,39,45,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2017,8,37,43,נקבה,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2017,8,0,6,נקבה,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2017,8,12,18,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2017,8,9,15,נקבה,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2017,8,5,12,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2017,8,7,14,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2017,8,4,10,נקבה,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2017,8,14,20,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2017,8,3,9,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2017,8,10,16,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2017,8,1,7,זכר,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,
2017,9,48,54,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פועל
2017,9,48,54,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,גננת
2017,9,45,51,נקבה,בלארוס,מזרח אירופה,אופקים,מחוז הדרום וירושלים,ספר
