year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2016,8,27,34,נקבה,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,מהנדס חומרים
2016,6,21,28,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,6,18,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,7,29,37,נקבה,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,כלכלן
2016,7,17,24,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,8,31,38,נקבה,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,מתכנת
2016,6,19,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,6,18,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,8,23,30,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,פסיכולוג
2016,8,22,30,נקבה,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,מהנדס חשמל ואלקטרוניקה
2016,8,41,48,זכר,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,"פסל, צייר"
2016,8,64,72,זכר,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,מהנדס אנרגטיקה
2016,8,62,70,נקבה,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,גיאולוג
2016,3,26,33,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,7,20,28,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,8,48,55,נקבה,בלארוס,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,מוסיקאי
2016,8,4,12,נקבה,בלארוס,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,7,19,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
